funding_entity,count,
Organizing Empowerment Project,1,0.00%
Texas HDCC,1,0.00%
ALLIANT ENERGY CORPORATION,1,0.00%
Blueprint NC,1,0.00%
Planned Parenthood Advocates of Wisconsin,1,0.00%
American Civil Liberties Union of Georgia Foundation,1,0.00%
Rhetta Bowers Campaign,1,0.00%
Workers Center for Racial Justice,1,0.00%
Our Economy PA,1,0.00%
"Leaders Igniting Transformation Action Fund, Inc.",1,0.00%
North Carolina Republican Party,1,0.00%
PERDUE FOR SENATE,1,0.00%
Friends of Kenny Griffis,1,0.00%
Doha Debates,1,0.00%
Better Together MN,1,0.00%
Hello Resistance Apparel,1,0.00%
DeBarba For State Rep,1,0.00%
Protect Our Public Schools,1,0.00%
"LAMBDA LEGAL DEFENSE & EDUCATION FUND, INC.",1,0.00%
"CONSERVATION LAW FOUNDATION, INC.",1,0.00%
NEW JERSEY REPUBLICAN STATE COMMITTEE,1,0.00%
AMERICANS FOR TAX REFORM,1,0.00%
Moorlach for Senate 2020,1,0.00%
Log Cabin Republicans,1,0.00%
Indiana Republican State Committee,1,0.00%
Credit Karma,1,0.00%
Boredwalk,1,0.00%
Dave Cortese for State Senate 2020,1,0.00%
Michael Moore for Commissioner,1,0.00%
"Yes on A, SF Health and Recovery Bond",1,0.00%
DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,1,0.00%
MICHIGAN STATE HOUSING DEVELOPMENT AUTHORITY,1,0.00%
Mercy Corps,1,0.00%
ASPCA,1,0.00%
Republican State Leadership Committee - Texas,1,0.00%
Salud Carbajal for Congress,1,0.00%
GARY MARY WEST HEALTH INSTITUTE,1,0.00%
Dollar Informer,1,0.00%
Mara Elliott for City Attorney 2020,1,0.00%
WE ARE GREAT AGAIN PAC,1,0.00%
Common Cause New York,1,0.00%
iVote Civic Education Fund,1,0.00%
BRYAN BERGHOEF FOR CONGRESS,1,0.00%
GREAT AMERICA PAC,1,0.00%
CITIZENS FOR A SOUND GOVERNMENT,1,0.00%
OUR FUTURE UNITED,1,0.00%
"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",1,0.00%
Bice for Congress,1,0.00%
SoulPancake,1,0.00%
Better Place Forests,1,0.00%
Our Voice Our Vote Arizona ,1,0.00%
Mountain State Values,1,0.00%
Care2,1,0.00%
National Urban League with Facebook Ad Credits,1,0.00%
Friends of Aaron Marquez,1,0.00%
Justice Jane Bland Campaign,1,0.00%
Home Value Club,1,0.00%
SIERRA CLUB,1,0.00%
Gabriel F Serrano,1,0.00%
UNITE FOR REPRODUCTIVE & GENDER EQUITY,1,0.00%
With Honor Fund,1,0.00%
San Jose Police Officers' Association ,1,0.00%
Progress Now,1,0.00%
City of Glendale,1,0.00%
DAVIDSON FOR CONGRESS,1,0.00%
Florida Republican Senatorial Campaign Committee,1,0.00%
"HUMAN RIGHTS CAMPAIGN, INC",1,0.00%
Law Office of Alena Shautsova,1,0.00%
JEWS DEFENDING AMERICAN VALUES,1,0.00%
I Count New Mexico,1,0.00%
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,1,0.00%
HELPING HAND FOR RELIEF AND DEVELOPMENT INC.,1,0.00%
Participant Media,1,0.00%
Kathy Knecht for State Representative-LD21. Authorized by Kathy Knecht.,1,0.00%
PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,1,0.00%
OHIO EDUCATION ASSOCIATION,1,0.00%
COLLECTIVE IMPACT PAC,1,0.00%
Mueller for Senate 2020,1,0.00%
Red State Politics LLC,1,0.00%
TERESA NONE OHARA-MARSH,1,0.00%
CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION,1,0.00%
COMMON CAUSE,1,0.00%
CommonSense American,1,0.00%
One Country Inc,1,0.00%
Alisa Simmons for Texas House District 94,1,0.00%
Gray for Assembly 2020,1,0.00%
MICHIGAN ACTION - FEDERAL ACCOUNT,1,0.00%
Delaware Department of Health and Social Services ,1,0.00%
"COLLINS FOR SENATE, INC.",1,0.00%
"Committee for Home Ownership, sponsored by North State Building Industry Assoc. Not authorized by a candidate or a committee controlled by a candidate.",1,0.00%
FLIP THE SENATE PAC,1,0.00%
FloWater,1,0.00%
Inventors club LLC,1,0.00%
The Conservative Caucus ,1,0.00%
Citizens Clean Elections Commission,1,0.00%
Harness Community,1,0.00%
YWAM Los Angeles,1,0.00%
Planned Parenthood Maine Action Fund,1,0.00%
First Primary Care,1,0.00%
Live Action,1,0.00%
The Solar Institute,1,0.00%
The Montana Public Interest Research Group,1,0.00%
lunchtime.uk.com,1,0.00%
8 Billion Trees LLC,1,0.00%
Maine Conservation Voters,1,0.00%
Greg Pulles for Minnesota Senate,1,0.00%
DON BACON FOR CONGRESS,1,0.00%
Eric Corriel Studios LLC,1,0.00%
Gwinnett Transit Education Forum Inc. ,1,0.00%
McEachin for Congress,1,0.00%
LEAGUE OF WOMEN VOTERS OF MAINE,1,0.00%
Will Merrifield for DC Council,1,0.00%
"Honest Governance PAC, Opposing Joel Anderson for Supervisor 2020",1,0.00%
MassMutual,1,0.00%
Workers Defense Action Fund,1,0.00%
Georgia Is Not Buying It,1,0.00%
YOUNG AMERICA'S FOUNDATION INC,1,0.00%
Bognet for Congress,1,0.00%
Coalition for Safe and Secure Data,1,0.00%
DERRECK JOHNSON FOR OAKLAND CITY  COUNCIL 2020 ,1,0.00%
TINA SMITH FOR MINNESOTA,1,0.00%
New Hampshire Coalition Against Domestic & Sexual Violence,1,0.00%
"The First Digital, Inc",1,0.00%
cleancult,1,0.00%
"Advance Georgia, Inc.",1,0.00%
 Friends of Ken Mejia-Beal,1,0.00%
San Diego County Democratic Party,1,0.00%
TED DEUTCH FOR CONGRESS COMMITTEE,1,0.00%
Loranne Ausley for Florida Senate,1,0.00%
WAYNE COUNTY REGIONAL EDUCATIONAL SERVICE AGENCY,1,0.00%
Brevard Citizens for Better Schools,1,0.00%
Keep California Golden,1,0.00%
Citizens to Retain Judge Richard Titus,1,0.00%
Asian Americans Advancing Justice - AAJC with Facebook Ad Credits,1,0.00%
Alaskans for Sullivan,1,0.00%
Robert Wallace For Mayor,1,0.00%
Showtime Networks,1,0.00%
Unite to Win,1,0.00%
Clean Columbus,1,0.00%
OneAlaska,1,0.00%
National Nurses United,1,0.00%
Alliance Defending Freedom,1,0.00%
Healthy Air Alliance,1,0.00%
DOUG LAMALFA COMMITTEE,1,0.00%
Friends of Sarah Schulz,1,0.00%
Stephanie Fattman,1,0.00%
Dean Preston for Supervisor 2020. Financial disclosures available at SFETHICS.ORG,1,0.00%
"Educators for Equity, Yes on 15 and 16, Sponsored by California Teachers Association. Committee major funding from the California Teachers Association.",1,0.00%
Planned Parenthood of the Rocky Mountains,1,0.00%
Flag and Cross,1,0.00%
California Alliance for Progress and Education,1,0.00%
Friends of Christine Drazan,1,0.00%
BANK OF THE WEST,1,0.00%
"NBCUNIVERSAL MEDIA, LLC",1,0.00%
"LUTHERAN IMMIGRATION AND REFUGEE SERVICE, INC.",1,0.00%
"TOMS SHOES, LLC",1,0.00%
Climate Power 2020,1,0.00%
HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION,1,0.00%
PICO California on behalf of Million Voters Project,1,0.00%
"INNOCENCE PROJECT, INC., THE",1,0.00%
Higher Ed Works,1,0.00%
Equality California,1,0.00%
DR. CAMERON WEBB FOR CONGRESS,1,0.00%
Boundary Waters Action Fund ,1,0.00%
Max Linn for Senate,1,0.00%
Lou Solis for Sheriff,1,0.00%
Friends of Shelby Labs,1,0.00%
"David Smick ""Stars and Strife""",1,0.00%
DEMOCRACY NORTH CAROLINA,1,0.00%
Equity Forward,1,0.00%
"Kionne McGhee, Non-Partisan, for Miami-Dade County Commissioner District 9",1,0.00%
Bill & Melinda Gates Foundation,1,0.00%
Rocky Mountain Wolf Action Fund,1,0.00%
"NUCLEAR ENERGY INSTITUTE, INC.",1,0.00%
Veterans For Responsible Leadership,1,0.00%
"Ethan for Kansas. Kristen Fromm, Treasurer.",1,0.00%
No on Measure 110,1,0.00%
IllumiNative,1,0.00%
FRIENDS OF CHERI BUSTOS,1,0.00%
WebPT,1,0.00%
DiSanto for Senate,1,0.00%
North Carolina Coalition for Fiscal Health,1,0.00%
Represent Justice,1,0.00%
San Diegans Opposing Gaspar for Supervisor 2020 sponsored by labor organizations.  Committee major funding from SEIU United Healthcare Workers West San Diego County Building Trades Council Family Housing Corp. dba National City Park Apartments and Affiliated Entities United Domestic Workers of America Not authorized by a candidate or committee controlled by a candidate.,1,0.00%
Friends of Ann Marie Mitchell,1,0.00%
Nick Adams,1,0.00%
Jonathan Wallace for State House,1,0.00%
Kellogg Company,1,0.00%
Civic Action,1,0.00%
THE NETWORK,1,0.00%
News and News,1,0.00%
Instituto Power,1,0.00%
Center on Budget and Policy Priorities,1,0.00%
Planned Parenthood Advocates of Iowa PAC,1,0.00%
Representative Ben Diamond,1,0.00%
